Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite_01_LoginFunction,Chrome 67.0.3396.99,,2018-07-12 11:17:05,2018-07-12 11:17:51,46.157s,FAILED
,,,,,,
Test Cases/TC01_LoginWithValidUsernamePassword,Chrome 67.0.3396.99,,2018-07-12 11:17:05,2018-07-12 11:17:19,13.570s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 11:17:06,2018-07-12 11:17:11,4.673s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 11:17:11,2018-07-12 11:17:12,1.433s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 11:17:12,2018-07-12 11:17:13,0.648s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 11:17:13,2018-07-12 11:17:13,0.247s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 11:17:13,2018-07-12 11:17:18,4.225s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 11:17:18,2018-07-12 11:17:18,0.462s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 11:17:18,2018-07-12 11:17:18,0.072s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 11:17:18,2018-07-12 11:17:19,0.786s,PASSED
,,,,,,
Test Cases/TC02_LoginWithInvalidUsernamePassword,Chrome 67.0.3396.99,,2018-07-12 11:17:19,2018-07-12 11:17:26,7.239s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 11:17:19,2018-07-12 11:17:22,2.610s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 11:17:22,2018-07-12 11:17:23,1.198s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 11:17:23,2018-07-12 11:17:24,0.683s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 11:17:24,2018-07-12 11:17:24,0.266s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 11:17:24,2018-07-12 11:17:25,1.120s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 11:17:25,2018-07-12 11:17:25,0.062s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 11:17:25,2018-07-12 11:17:26,0.986s,PASSED
,,,,,,
Test Cases/TC03_LoginWithInvalidUsernameOnly,Chrome 67.0.3396.99,,2018-07-12 11:17:26,2018-07-12 11:17:33,6.708s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 11:17:26,2018-07-12 11:17:28,2.032s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 11:17:28,2018-07-12 11:17:30,1.274s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 11:17:30,2018-07-12 11:17:30,0.621s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 11:17:30,2018-07-12 11:17:31,0.399s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 11:17:31,2018-07-12 11:17:32,0.859s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 11:17:32,2018-07-12 11:17:32,0.080s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 11:17:32,2018-07-12 11:17:33,1.257s,PASSED
,,,,,,
Test Cases/TC04_LoginWithInvalidPasswordOnly,Chrome 67.0.3396.99,,2018-07-12 11:17:33,2018-07-12 11:17:40,7.386s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 11:17:33,2018-07-12 11:17:35,2.298s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 11:17:35,2018-07-12 11:17:37,1.270s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 11:17:37,2018-07-12 11:17:37,0.741s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 11:17:37,2018-07-12 11:17:38,0.344s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 11:17:38,2018-07-12 11:17:39,1.101s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 11:17:39,2018-07-12 11:17:39,0.149s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 11:17:39,2018-07-12 11:17:40,1.257s,PASSED
,,,,,,
Test Cases/TC05_LoginWithValidUsernamePasswordButFail,Chrome 67.0.3396.99,,2018-07-12 11:17:40,2018-07-12 11:17:51,10.457s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 11:17:41,2018-07-12 11:17:43,2.376s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 11:17:43,2018-07-12 11:17:45,1.565s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 11:17:45,2018-07-12 11:17:45,0.544s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 11:17:45,2018-07-12 11:17:45,0.229s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 11:17:45,2018-07-12 11:17:49,3.439s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 11:17:49,2018-07-12 11:17:49,0.615s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 11:17:49,2018-07-12 11:17:50,0.543s,FAILED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 11:17:50,2018-07-12 11:17:51,0.806s,PASSED
