Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:46:12,2018-07-12 15:46:12,0.048s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:46:12,2018-07-12 15:46:13,0.200s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:46:13,2018-07-12 15:46:14,0.953s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:46:14,2018-07-12 15:46:14,0.120s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 15:46:14,2018-07-12 15:46:14,0.769s,PASSED
,,,,,,
Test Cases/TC11_VerifySettingUserRolePage,Chrome 67.0.3396.99,,2018-07-12 15:46:14,2018-07-12 15:46:23,8.897s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 15:46:15,2018-07-12 15:46:17,2.061s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 15:46:17,2018-07-12 15:46:18,0.847s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:46:18,2018-07-12 15:46:18,0.237s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:46:18,2018-07-12 15:46:18,0.142s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:46:18,2018-07-12 15:46:21,2.959s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:46:21,2018-07-12 15:46:21,0.286s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:46:21,2018-07-12 15:46:21,0.054s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:46:21,2018-07-12 15:46:21,0.195s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:46:21,2018-07-12 15:46:22,0.879s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:46:22,2018-07-12 15:46:22,0.138s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 15:46:22,2018-07-12 15:46:23,0.832s,PASSED
,,,,,,
Test Cases/TC12_VerifySettingPermissionCodePage,Chrome 67.0.3396.99,,2018-07-12 15:46:23,2018-07-12 15:46:32,8.752s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 15:46:23,2018-07-12 15:46:26,2.014s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 15:46:26,2018-07-12 15:46:26,0.852s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:46:26,2018-07-12 15:46:27,0.293s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:46:27,2018-07-12 15:46:27,0.134s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:46:27,2018-07-12 15:46:30,3.052s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:46:30,2018-07-12 15:46:30,0.321s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:46:30,2018-07-12 15:46:30,0.035s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:46:30,2018-07-12 15:46:30,0.184s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:46:30,2018-07-12 15:46:31,0.821s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:46:31,2018-07-12 15:46:31,0.090s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 15:46:31,2018-07-12 15:46:32,0.768s,PASSED
,,,,,,
Test Cases/TC13_VerifySettingListOfValuePage,Chrome 67.0.3396.99,,2018-07-12 15:46:32,2018-07-12 15:46:41,8.823s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 15:46:32,2018-07-12 15:46:34,2.018s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 15:46:34,2018-07-12 15:46:35,0.954s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:46:35,2018-07-12 15:46:35,0.222s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:46:35,2018-07-12 15:46:36,0.136s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:46:36,2018-07-12 15:46:38,2.923s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:46:38,2018-07-12 15:46:39,0.327s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:46:39,2018-07-12 15:46:39,0.038s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:46:39,2018-07-12 15:46:39,0.258s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:46:39,2018-07-12 15:46:40,0.756s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:46:40,2018-07-12 15:46:40,0.295s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 15:46:40,2018-07-12 15:46:41,0.715s,PASSED
,,,,,,
Test Cases/TC14_VerifySettingStatusPage,Chrome 67.0.3396.99,,2018-07-12 15:46:41,2018-07-12 15:46:50,8.897s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 15:46:41,2018-07-12 15:46:43,1.982s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 15:46:43,2018-07-12 15:46:44,0.854s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:46:44,2018-07-12 15:46:44,0.318s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:46:44,2018-07-12 15:46:44,0.152s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:46:44,2018-07-12 15:46:47,2.903s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:46:47,2018-07-12 15:46:48,0.295s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:46:48,2018-07-12 15:46:48,0.038s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:46:48,2018-07-12 15:46:48,0.327s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:46:48,2018-07-12 15:46:49,0.765s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:46:49,2018-07-12 15:46:49,0.250s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 15:46:49,2018-07-12 15:46:50,0.869s,PASSED
,,,,,,
Test Cases/TC15_VerifySettingDCPage,Chrome 67.0.3396.99,,2018-07-12 15:46:50,2018-07-12 15:46:58,8.531s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 15:46:50,2018-07-12 15:46:52,2.015s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 15:46:52,2018-07-12 15:46:53,0.896s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:46:53,2018-07-12 15:46:53,0.220s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:46:53,2018-07-12 15:46:53,0.137s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:46:53,2018-07-12 15:46:56,2.748s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:46:56,2018-07-12 15:46:56,0.368s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:46:56,2018-07-12 15:46:56,0.035s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:46:56,2018-07-12 15:46:57,0.204s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:46:57,2018-07-12 15:46:57,0.737s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:46:57,2018-07-12 15:46:58,0.213s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 15:46:58,2018-07-12 15:46:58,0.750s,PASSED
,,,,,,
Test Cases/TC16_VerifySettingDepartmentPage,Chrome 67.0.3396.99,,2018-07-12 15:46:58,2018-07-12 15:47:07,8.491s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 15:46:58,2018-07-12 15:47:00,2.030s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 15:47:00,2018-07-12 15:47:01,0.868s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:47:01,2018-07-12 15:47:02,0.217s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:47:02,2018-07-12 15:47:02,0.143s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:47:02,2018-07-12 15:47:04,2.705s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:47:04,2018-07-12 15:47:05,0.233s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:47:05,2018-07-12 15:47:05,0.044s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:47:05,2018-07-12 15:47:05,0.209s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:47:05,2018-07-12 15:47:06,0.841s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:47:06,2018-07-12 15:47:06,0.289s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 15:47:06,2018-07-12 15:47:07,0.767s,PASSED
,,,,,,
Test Cases/TC17_VerifySettingApprovalRoutePage,Chrome 67.0.3396.99,,2018-07-12 15:47:07,2018-07-12 15:47:16,9.077s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 15:47:07,2018-07-12 15:47:09,2.035s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 15:47:09,2018-07-12 15:47:10,0.842s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:47:10,2018-07-12 15:47:10,0.277s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:47:10,2018-07-12 15:47:10,0.153s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:47:10,2018-07-12 15:47:13,3.025s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:47:13,2018-07-12 15:47:14,0.364s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:47:14,2018-07-12 15:47:14,0.035s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:47:14,2018-07-12 15:47:14,0.273s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:47:14,2018-07-12 15:47:15,0.906s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:47:15,2018-07-12 15:47:15,0.082s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 15:47:15,2018-07-12 15:47:16,0.937s,PASSED
,,,,,,
Test Cases/TC18_VerifySettingAssetModelPage,Chrome 67.0.3396.99,,2018-07-12 15:47:16,2018-07-12 15:47:25,8.992s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 15:47:16,2018-07-12 15:47:18,2.042s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 15:47:18,2018-07-12 15:47:19,0.930s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:47:19,2018-07-12 15:47:19,0.212s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:47:19,2018-07-12 15:47:19,0.143s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:47:19,2018-07-12 15:47:22,3.063s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:47:22,2018-07-12 15:47:23,0.303s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:47:23,2018-07-12 15:47:23,0.033s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:47:23,2018-07-12 15:47:23,0.280s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:47:23,2018-07-12 15:47:24,0.747s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:47:24,2018-07-12 15:47:24,0.335s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 15:47:24,2018-07-12 15:47:25,0.775s,PASSED
,,,,,,
Test Cases/TC19_VerifySettingVendorPage,Chrome 67.0.3396.99,,2018-07-12 15:47:25,2018-07-12 15:47:34,9.435s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 15:47:25,2018-07-12 15:47:27,2.060s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 15:47:27,2018-07-12 15:47:28,0.846s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:47:28,2018-07-12 15:47:28,0.304s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:47:28,2018-07-12 15:47:28,0.167s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:47:28,2018-07-12 15:47:32,3.480s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:47:32,2018-07-12 15:47:32,0.362s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:47:32,2018-07-12 15:47:32,0.083s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:47:32,2018-07-12 15:47:33,0.220s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:47:33,2018-07-12 15:47:33,0.719s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:47:33,2018-07-12 15:47:34,0.278s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 15:47:34,2018-07-12 15:47:34,0.767s,PASSED
,,,,,,
Test Cases/TC20_VerifySettingAreaPage,Chrome 67.0.3396.99,,2018-07-12 15:47:34,2018-07-12 15:47:43,9.029s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 15:47:34,2018-07-12 15:47:37,2.081s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 15:47:37,2018-07-12 15:47:37,0.895s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:47:37,2018-07-12 15:47:38,0.218s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:47:38,2018-07-12 15:47:38,0.130s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:47:38,2018-07-12 15:47:41,2.930s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:47:41,2018-07-12 15:47:41,0.335s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:47:41,2018-07-12 15:47:41,0.060s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:47:41,2018-07-12 15:47:41,0.220s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:47:41,2018-07-12 15:47:42,0.833s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:47:42,2018-07-12 15:47:43,0.339s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 15:47:43,2018-07-12 15:47:43,0.855s,PASSED
,,,,,,
Test Cases/TC21_VerifySettingAssetSummaryPage,Chrome 67.0.3396.99,,2018-07-12 15:47:43,2018-07-12 15:47:52,8.410s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 15:47:43,2018-07-12 15:47:45,2.009s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 15:47:45,2018-07-12 15:47:46,0.856s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:47:46,2018-07-12 15:47:47,0.227s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:47:47,2018-07-12 15:47:47,0.141s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:47:47,2018-07-12 15:47:50,2.831s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:47:50,2018-07-12 15:47:50,0.356s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:47:50,2018-07-12 15:47:50,0.054s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:47:50,2018-07-12 15:47:50,0.229s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:47:50,2018-07-12 15:47:51,0.688s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:47:51,2018-07-12 15:47:51,0.090s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 15:47:51,2018-07-12 15:47:52,0.811s,PASSED
,,,,,,
Test Cases/TC22_VerifySettingAssetTransferSummaryPage,Chrome 67.0.3396.99,,2018-07-12 15:47:52,2018-07-12 15:48:01,8.790s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 15:47:52,2018-07-12 15:47:54,2.052s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 15:47:54,2018-07-12 15:47:55,0.840s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:47:55,2018-07-12 15:47:55,0.258s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:47:55,2018-07-12 15:47:55,0.158s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:47:55,2018-07-12 15:47:58,3.159s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:47:58,2018-07-12 15:47:59,0.281s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:47:59,2018-07-12 15:47:59,0.038s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:47:59,2018-07-12 15:47:59,0.190s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:47:59,2018-07-12 15:48:00,0.749s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:48:00,2018-07-12 15:48:00,0.092s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 15:48:00,2018-07-12 15:48:01,0.839s,PASSED
