Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite_01_LoginFunction,Chrome 67.0.3396.99,,2018-07-12 16:27:38,2018-07-12 16:28:13,34.621s,FAILED
,,,,,,
Test Cases/TC01_LoginWithValidUsernamePassword,Chrome 67.0.3396.99,,2018-07-12 16:27:39,2018-07-12 16:27:49,10.622s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 16:27:39,2018-07-12 16:27:43,3.685s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 16:27:43,2018-07-12 16:27:44,0.958s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 16:27:44,2018-07-12 16:27:44,0.524s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 16:27:44,2018-07-12 16:27:45,0.171s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 16:27:45,2018-07-12 16:27:48,3.570s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 16:27:48,2018-07-12 16:27:49,0.326s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 16:27:49,2018-07-12 16:27:49,0.091s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 16:27:49,2018-07-12 16:27:49,0.806s,PASSED
,,,,,,
Test Cases/TC02_LoginWithInvalidUsernamePassword,Chrome 67.0.3396.99,,2018-07-12 16:27:49,2018-07-12 16:27:54,4.978s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 16:27:50,2018-07-12 16:27:52,2.045s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 16:27:52,2018-07-12 16:27:52,0.803s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 16:27:52,2018-07-12 16:27:53,0.355s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 16:27:53,2018-07-12 16:27:53,0.178s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 16:27:53,2018-07-12 16:27:54,0.713s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 16:27:54,2018-07-12 16:27:54,0.055s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 16:27:54,2018-07-12 16:27:54,0.684s,PASSED
,,,,,,
Test Cases/TC03_LoginWithInvalidUsernameOnly,Chrome 67.0.3396.99,,2018-07-12 16:27:54,2018-07-12 16:28:00,5.202s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 16:27:55,2018-07-12 16:27:57,2.039s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 16:27:57,2018-07-12 16:27:57,0.799s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 16:27:57,2018-07-12 16:27:58,0.309s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 16:27:58,2018-07-12 16:27:58,0.178s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 16:27:58,2018-07-12 16:27:59,0.799s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 16:27:59,2018-07-12 16:27:59,0.095s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 16:27:59,2018-07-12 16:28:00,0.831s,PASSED
,,,,,,
Test Cases/TC04_LoginWithInvalidPasswordOnly,Chrome 67.0.3396.99,,2018-07-12 16:28:00,2018-07-12 16:28:05,5.221s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 16:28:00,2018-07-12 16:28:02,2.074s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 16:28:02,2018-07-12 16:28:03,0.850s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 16:28:03,2018-07-12 16:28:03,0.292s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 16:28:03,2018-07-12 16:28:03,0.162s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 16:28:03,2018-07-12 16:28:04,0.848s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 16:28:04,2018-07-12 16:28:04,0.092s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 16:28:04,2018-07-12 16:28:05,0.763s,PASSED
,,,,,,
Test Cases/TC05_LoginWithValidUsernamePasswordButFail,Chrome 67.0.3396.99,,2018-07-12 16:28:05,2018-07-12 16:28:13,7.907s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 16:28:05,2018-07-12 16:28:07,2.085s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 16:28:07,2018-07-12 16:28:08,0.855s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 16:28:08,2018-07-12 16:28:08,0.221s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 16:28:08,2018-07-12 16:28:08,0.159s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 16:28:08,2018-07-12 16:28:11,2.912s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 16:28:11,2018-07-12 16:28:12,0.296s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 16:28:12,2018-07-12 16:28:12,0.391s,FAILED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 16:28:12,2018-07-12 16:28:13,0.849s,PASSED
