Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite_01_LoginFunction,Chrome 67.0.3396.99,,2018-07-12 10:57:14,2018-07-12 10:57:41,26.223s,PASSED
,,,,,,
Test Cases/TC01_LoginWithValidUsernamePassword,Chrome 67.0.3396.99,,2018-07-12 10:57:15,2018-07-12 10:57:25,9.933s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 10:57:15,2018-07-12 10:57:19,3.440s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 10:57:19,2018-07-12 10:57:19,0.929s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 10:57:19,2018-07-12 10:57:20,0.414s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 10:57:20,2018-07-12 10:57:20,0.215s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 10:57:20,2018-07-12 10:57:24,3.396s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 10:57:24,2018-07-12 10:57:24,0.347s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 10:57:24,2018-07-12 10:57:24,0.090s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 10:57:24,2018-07-12 10:57:25,0.821s,PASSED
,,,,,,
Test Cases/TC02_LoginWithInvalidUsernamePassword,Chrome 67.0.3396.99,,2018-07-12 10:57:25,2018-07-12 10:57:30,5.260s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 10:57:25,2018-07-12 10:57:27,2.054s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 10:57:27,2018-07-12 10:57:28,0.857s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 10:57:28,2018-07-12 10:57:28,0.278s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 10:57:28,2018-07-12 10:57:28,0.197s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 10:57:28,2018-07-12 10:57:29,0.808s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 10:57:29,2018-07-12 10:57:29,0.055s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 10:57:29,2018-07-12 10:57:30,0.768s,PASSED
,,,,,,
Test Cases/TC03_LoginWithInvalidUsernameOnly,Chrome 67.0.3396.99,,2018-07-12 10:57:30,2018-07-12 10:57:35,5.195s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 10:57:30,2018-07-12 10:57:32,1.985s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 10:57:32,2018-07-12 10:57:33,0.788s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 10:57:33,2018-07-12 10:57:33,0.317s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 10:57:33,2018-07-12 10:57:34,0.222s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 10:57:34,2018-07-12 10:57:34,0.873s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 10:57:34,2018-07-12 10:57:35,0.103s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 10:57:35,2018-07-12 10:57:35,0.756s,PASSED
,,,,,,
Test Cases/TC04_LoginWithInvalidPasswordOnly,Chrome 67.0.3396.99,,2018-07-12 10:57:35,2018-07-12 10:57:41,5.250s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 10:57:35,2018-07-12 10:57:37,2.062s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 10:57:37,2018-07-12 10:57:38,0.838s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 10:57:38,2018-07-12 10:57:39,0.284s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 10:57:39,2018-07-12 10:57:39,0.225s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 10:57:39,2018-07-12 10:57:40,0.832s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 10:57:40,2018-07-12 10:57:40,0.120s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 10:57:40,2018-07-12 10:57:41,0.760s,PASSED
